# 5MW Wind Turbine Blade Design - NACA64-A17
# Initial Design (Constant Chord/Twist)
# Power Coefficient: 0.3555
# Power: 4.022 MW
r(m),chord(m),pitch(deg),alpha(deg),Cl,Cd,pn(N/m),pt(N/m),M_flap(Nm),sigma_t(MPa),sigma_c(MPa),tau(MPa),ratio_t,ratio_c,ratio_s
2.00,3.000,8.00,64.22,0.594,1.1468,214.2,36.3,5972257.1,158.8,146.3,13.8,0.361,0.610,0.432
5.18,3.000,8.00,48.64,0.773,0.8371,311.6,51.3,5462633.7,145.7,133.3,13.8,0.331,0.556,0.430
8.37,3.000,8.00,36.39,0.794,0.5633,399.3,63.6,4956613.9,132.7,120.5,13.6,0.302,0.502,0.426
11.55,3.000,8.00,26.60,1.085,0.3661,666.7,190.5,4455998.0,119.8,107.8,13.5,0.272,0.449,0.421
14.74,3.000,8.00,19.04,1.447,0.2174,1185.3,396.6,3964770.9,107.1,95.4,13.1,0.243,0.397,0.410
17.92,3.000,8.00,14.35,1.445,0.1143,1607.1,516.8,3487700.2,94.7,83.3,12.7,0.215,0.347,0.396
21.11,3.000,8.00,10.87,1.411,0.0354,2071.6,650.5,3029278.9,82.8,71.8,12.1,0.188,0.299,0.378
24.29,3.000,8.00,8.49,1.293,0.0130,2444.6,697.2,2593752.8,71.4,60.9,11.4,0.162,0.254,0.357
27.47,3.000,8.00,6.73,1.161,0.0109,2760.1,698.3,2184612.7,60.7,50.8,10.6,0.138,0.211,0.333
30.66,3.000,8.00,5.33,1.044,0.0067,3051.8,702.5,1804936.6,50.7,41.4,9.8,0.115,0.172,0.306
33.84,3.000,8.00,4.24,0.926,0.0053,3268.0,689.4,1457298.8,41.5,32.8,8.9,0.094,0.137,0.278
37.03,3.000,8.00,3.34,0.822,0.0054,3448.7,668.2,1143712.1,33.1,25.2,8.0,0.075,0.105,0.249
40.21,3.000,8.00,2.56,0.734,0.0053,3610.6,646.3,865913.5,25.7,18.5,7.0,0.058,0.077,0.218
43.39,3.000,8.00,1.89,0.657,0.0053,3747.4,622.0,625417.3,19.1,12.8,5.9,0.043,0.053,0.186
46.58,3.000,8.00,1.29,0.589,0.0052,3857.4,595.9,423474.8,13.5,8.1,4.9,0.031,0.034,0.153
49.76,3.000,8.00,0.75,0.528,0.0052,3934.6,566.2,261034.8,8.9,4.4,3.8,0.020,0.018,0.119
52.95,3.000,8.00,0.25,0.471,0.0052,3965.7,530.7,138646.4,5.3,1.8,2.7,0.012,0.008,0.086
56.13,3.000,8.00,-0.24,0.415,0.0052,3919.9,484.5,56234.7,2.6,0.2,1.7,0.006,0.001,0.052
59.32,3.000,8.00,-0.79,0.352,0.0052,3705.9,413.3,12482.4,0.9,0.3,0.7,0.002,0.001,0.021
62.50,3.000,8.00,-2.02,0.211,0.0054,2462.2,194.3,0.0,0.0,0.0,0.0,0.000,0.000,0.000
