# NACA64-A17 Airfoil Coordinates
x/c,y/c
1.000119,0.001781
0.999870,0.001848
0.999125,0.002048
0.997884,0.002380
0.996148,0.002844
0.993919,0.003439
0.991198,0.004161
0.987989,0.005010
0.984294,0.005983
0.980117,0.007077
0.975461,0.008288
0.970331,0.009614
0.964731,0.011050
0.958668,0.012592
0.952145,0.014236
0.945170,0.015978
0.937750,0.017813
0.929890,0.019735
0.921599,0.021740
0.912883,0.023823
0.903753,0.025977
0.894215,0.028198
0.884280,0.030479
0.873957,0.032816
0.863255,0.035202
0.852186,0.037632
0.840759,0.040099
0.828986,0.042599
0.816878,0.045124
0.804447,0.047669
0.791705,0.050229
0.778664,0.052796
0.765338,0.055366
0.751740,0.057932
0.737882,0.060488
0.723779,0.063028
0.709445,0.065547
0.694893,0.068039
0.680139,0.070497
0.665196,0.072915
0.650081,0.075288
0.634808,0.077610
0.619393,0.079874
0.603851,0.082075
0.588197,0.084207
0.572449,0.086264
0.556621,0.088241
0.540730,0.090130
0.524792,0.091928
0.508824,0.093627
0.492841,0.095223
0.476861,0.096710
0.460900,0.098083
0.444974,0.099337
0.429101,0.100467
0.413295,0.101467
0.397547,0.102334
0.381749,0.103041
0.366068,0.103573
0.350519,0.103927
0.335122,0.104101
0.319893,0.104092
0.304848,0.103901
0.290004,0.103525
0.275379,0.102965
0.260987,0.102222
0.246846,0.101296
0.232970,0.100189
0.219376,0.098902
0.206078,0.097439
0.193091,0.095803
0.180429,0.093998
0.168107,0.092027
0.156137,0.089896
0.144532,0.087610
0.133305,0.085174
0.122468,0.082595
0.112033,0.079879
0.102009,0.077034
0.092408,0.074065
0.083240,0.070981
0.074513,0.067788
0.066236,0.064496
0.058417,0.061110
0.051065,0.057640
0.044185,0.054092
0.037783,0.050474
0.031867,0.046794
0.026441,0.043059
0.021509,0.039275
0.017076,0.035449
0.013144,0.031588
0.009718,0.027697
0.006799,0.023781
0.004388,0.019846
0.002489,0.015895
0.001100,0.011932
0.000223,0.007960
-0.000144,0.003982
0.000000,0.000000
0.000647,-0.003932
0.001791,-0.007759
0.003428,-0.011481
0.005556,-0.015094
0.008173,-0.018600
0.011273,-0.021994
0.014852,-0.025278
0.018907,-0.028447
0.023432,-0.031501
0.028420,-0.034438
0.033867,-0.037255
0.039765,-0.039951
0.046108,-0.042525
0.052889,-0.044973
0.060100,-0.047296
0.067733,-0.049490
0.075781,-0.051555
0.084234,-0.053489
0.093084,-0.055292
0.102322,-0.056962
0.111938,-0.058500
0.121923,-0.059905
0.132267,-0.061177
0.142961,-0.062318
0.153993,-0.063327
0.165354,-0.064207
0.177033,-0.064958
0.189018,-0.065584
0.201299,-0.066086
0.213865,-0.066467
0.226704,-0.066731
0.239804,-0.066881
0.253154,-0.066921
0.266742,-0.066855
0.280555,-0.066689
0.294581,-0.066425
0.308807,-0.066071
0.323221,-0.065631
0.337810,-0.065110
0.352560,-0.064514
0.367459,-0.063849
0.382492,-0.063121
0.397646,-0.062336
0.413057,-0.061487
0.428585,-0.060559
0.444187,-0.059558
0.459850,-0.058488
0.475557,-0.057356
0.491293,-0.056165
0.507042,-0.054922
0.522790,-0.053630
0.538520,-0.052296
0.554217,-0.050924
0.569866,-0.049519
0.585451,-0.048085
0.600956,-0.046627
0.616366,-0.045149
0.631666,-0.043654
0.646839,-0.042147
0.661872,-0.040632
0.676748,-0.039111
0.691452,-0.037589
0.705970,-0.036068
0.720288,-0.034551
0.734389,-0.033042
0.748260,-0.031543
0.761887,-0.030056
0.775256,-0.028585
0.788352,-0.027131
0.801163,-0.025697
0.813675,-0.024286
0.825875,-0.022898
0.837751,-0.021538
0.849289,-0.020206
0.860479,-0.018905
0.871307,-0.017636
0.881764,-0.016403
0.891838,-0.015206
0.901517,-0.014048
0.910793,-0.012931
0.919655,-0.011857
0.928094,-0.010828
0.936100,-0.009845
0.943665,-0.008910
0.950781,-0.008026
0.957441,-0.007195
0.963637,-0.006417
0.969362,-0.005694
0.974610,-0.005029
0.979376,-0.004422
0.983655,-0.003875
0.987441,-0.003389
0.990730,-0.002966
0.993520,-0.002605
0.995807,-0.002310
0.997588,-0.002079
0.998862,-0.001914
0.999626,-0.001814
0.999881,-0.001781
