# 5MW Wind Turbine Blade Optimization History
# Initial Chord: 3.00 m, Initial Twist: 8.00 deg
# Phase 1: Rule-based (iterations 1-15), Phase 2: Genetic Algorithm (iterations 16-80)
# Total Iterations: 82
iteration,phase,method,Cp,max_stress_ratio,stress_status,Cp_improvement_pct
1,1,Rule-Based,0.355458,0.609682,PASS,0.0000
2,1,Rule-Based,0.366998,0.683306,PASS,3.2465
3,1,Rule-Based,0.377389,0.761882,PASS,6.1698
4,1,Rule-Based,0.385488,0.793291,PASS,8.4482
5,1,Rule-Based,0.388104,0.811033,PASS,9.1843
6,1,Rule-Based,0.391128,0.798849,PASS,10.0351
7,1,Rule-Based,0.394041,0.813424,PASS,10.8544
8,1,Rule-Based,0.397537,0.831595,PASS,11.8380
9,1,Rule-Based,0.400675,0.857923,PASS,12.7208
10,1,Rule-Based,0.403486,0.883356,PASS,13.5117
11,1,Rule-Based,0.405223,0.903086,PASS,14.0002
12,1,Rule-Based,0.405663,0.917080,PASS,14.1243
13,1,Rule-Based,0.405923,0.930580,PASS,14.1973
14,1,Rule-Based,0.405577,0.938655,PASS,14.0999
15,1,Rule-Based,0.405377,0.947174,PASS,14.0437
16,2,GA,0.431527,1.051608,FAIL,21.4003
17,2,GA,0.449938,1.059557,FAIL,26.5799
18,2,GA,0.339719,1.007230,FAIL,-4.4276
19,2,GA,0.349570,1.000589,FAIL,-1.6563
20,2,GA,0.364377,1.066982,FAIL,2.5091
21,2,GA,0.416029,0.945934,PASS,17.0405
22,2,GA,0.420532,0.917485,PASS,18.3072
23,2,GA,0.400357,0.877550,PASS,12.6315
24,2,GA,0.474214,0.947576,PASS,33.4094
25,2,GA,0.476576,0.941172,PASS,34.0739
26,2,GA,0.480637,0.951089,PASS,35.2164
27,2,GA,0.485978,0.943404,PASS,36.7189
28,2,GA,0.471846,0.904197,PASS,32.7433
29,2,GA,0.472742,0.899295,PASS,32.9953
30,2,GA,0.474078,0.903852,PASS,33.3711
31,2,GA,0.493898,0.917951,PASS,38.9471
32,2,GA,0.495406,0.927219,PASS,39.3714
33,2,GA,0.497022,0.928669,PASS,39.8260
34,2,GA,0.498048,0.921829,PASS,40.1144
35,2,GA,0.498959,0.911340,PASS,40.3708
36,2,GA,0.499663,0.905226,PASS,40.5689
37,2,GA,0.500091,0.895451,PASS,40.6892
38,2,GA,0.500655,0.885695,PASS,40.8479
39,2,GA,0.501115,0.874087,PASS,40.9773
40,2,GA,0.501549,0.859475,PASS,41.0994
41,2,GA,0.501883,0.847304,PASS,41.1935
42,2,GA,0.501993,0.842789,PASS,41.2245
43,2,GA,0.502100,0.838890,PASS,41.2544
44,2,GA,0.502192,0.837771,PASS,41.2803
45,2,GA,0.502340,0.838308,PASS,41.3219
46,2,GA,0.502560,0.839901,PASS,41.3840
47,2,GA,0.502742,0.841507,PASS,41.4351
48,2,GA,0.503039,0.842930,PASS,41.5185
49,2,GA,0.503139,0.843483,PASS,41.5468
50,2,GA,0.503379,0.844037,PASS,41.6143
51,2,GA,0.503506,0.843134,PASS,41.6501
52,2,GA,0.503602,0.841032,PASS,41.6771
53,2,GA,0.503658,0.839900,PASS,41.6928
54,2,GA,0.503681,0.839797,PASS,41.6993
55,2,GA,0.503692,0.840520,PASS,41.7023
56,2,GA,0.503722,0.841905,PASS,41.7109
57,2,GA,0.503735,0.841627,PASS,41.7144
58,2,GA,0.503761,0.840443,PASS,41.7217
59,2,GA,0.503778,0.839865,PASS,41.7266
60,2,GA,0.503806,0.839537,PASS,41.7345
61,2,GA,0.503820,0.840160,PASS,41.7382
62,2,GA,0.503833,0.841003,PASS,41.7421
63,2,GA,0.503842,0.841552,PASS,41.7446
64,2,GA,0.503849,0.841393,PASS,41.7465
65,2,GA,0.503860,0.841078,PASS,41.7496
66,2,GA,0.503879,0.840208,PASS,41.7549
67,2,GA,0.503928,0.838857,PASS,41.7687
68,2,GA,0.504130,0.836171,PASS,41.8256
69,2,GA,0.504181,0.837009,PASS,41.8398
70,2,GA,0.504362,0.839621,PASS,41.8908
71,2,GA,0.504463,0.844045,PASS,41.9192
72,2,GA,0.504478,0.843770,PASS,41.9234
73,2,GA,0.504509,0.842910,PASS,41.9321
74,2,GA,0.504538,0.840962,PASS,41.9405
75,2,GA,0.504595,0.837305,PASS,41.9564
76,2,GA,0.504693,0.831541,PASS,41.9840
77,2,GA,0.504736,0.832282,PASS,41.9961
78,2,GA,0.504791,0.836446,PASS,42.0117
79,2,GA,0.504805,0.838592,PASS,42.0154
80,2,GA,0.504819,0.842481,PASS,42.0193
81,2,GA,0.504821,0.842720,PASS,42.0199
82,2,GA,0.504822,0.842089,PASS,42.0202
