# 5MW Wind Turbine Blade Design - NACA64-A17
# Optimized Design
# Power Coefficient: 0.5048
# Power: 5.712 MW
r(m),chord(m),pitch(deg),alpha(deg),Cl,Cd,pn(N/m),pt(N/m),M_flap(Nm),sigma_t(MPa),sigma_c(MPa),tau(MPa),ratio_t,ratio_c,ratio_s
2.00,4.250,17.73,50.18,0.762,0.8702,246.1,85.2,13387274.9,124.9,114.9,6.8,0.284,0.479,0.214
5.18,5.000,25.00,26.30,1.100,0.3607,452.5,295.5,12363610.9,71.6,64.5,3.6,0.163,0.269,0.111
8.37,5.000,25.00,12.58,1.444,0.0744,844.3,583.0,11346521.6,65.9,58.9,3.5,0.150,0.246,0.110
11.55,5.000,19.72,10.02,1.383,0.0153,1243.6,692.3,10340017.5,60.2,53.5,3.5,0.137,0.223,0.109
14.74,5.000,13.46,9.96,1.380,0.0145,1822.5,766.7,9349057.4,54.6,48.2,3.4,0.124,0.201,0.107
17.92,5.000,8.59,9.85,1.375,0.0139,2526.2,814.0,8380143.7,49.1,43.0,3.3,0.112,0.179,0.104
21.11,4.595,5.71,9.79,1.372,0.0138,3088.9,823.7,7439696.3,56.1,49.3,4.5,0.128,0.205,0.141
24.29,5.000,8.14,5.87,1.092,0.0087,3451.9,832.5,6532408.0,38.6,33.3,3.1,0.088,0.139,0.096
27.47,5.000,7.32,4.95,1.006,0.0057,3994.8,845.1,5662871.3,33.5,28.8,2.9,0.076,0.120,0.092
30.66,4.764,6.31,4.63,0.971,0.0054,4516.6,847.2,4836483.8,33.1,28.4,3.4,0.075,0.118,0.106
33.84,3.066,0.22,9.80,1.372,0.0138,4957.4,824.6,4058125.5,102.0,91.5,18.5,0.232,0.381,0.577
37.03,3.981,4.45,4.69,0.978,0.0054,5449.7,846.5,3332526.8,39.1,33.5,6.0,0.089,0.140,0.188
40.21,3.692,3.76,4.68,0.976,0.0054,5918.6,844.7,2664560.8,39.2,33.5,7.4,0.089,0.140,0.232
43.39,3.429,3.15,4.69,0.977,0.0054,6376.6,841.4,2058926.7,37.9,32.2,9.0,0.086,0.134,0.280
46.58,3.194,2.60,4.69,0.978,0.0054,6823.0,835.2,1520209.3,34.9,29.2,10.5,0.079,0.122,0.327
49.76,2.977,2.10,4.70,0.978,0.0054,7241.8,823.1,1052794.5,30.2,24.6,11.8,0.069,0.102,0.370
52.95,2.755,1.65,4.69,0.977,0.0054,7560.0,798.2,660418.6,24.4,18.9,13.3,0.056,0.079,0.415
56.13,2.473,1.21,4.70,0.978,0.0054,7617.3,745.0,344985.6,18.5,12.8,16.0,0.042,0.053,0.499
59.32,2.016,0.76,4.70,0.979,0.0054,6927.4,624.2,103288.8,12.4,4.9,26.9,0.028,0.020,0.842
62.50,5.000,-3.57,5.20,1.031,0.0063,20374.2,454.2,0.0,0.0,0.0,0.0,0.000,0.000,0.000
